t,theta1,theta2,theta3,theta4,dtheta3,dtheta4,foot_x,foot_y,foot_z,link3_z,link4_z,grf_contact,grf_sensor,tau_hip,tau_knee,estado_fsm,en_vuelo
0.0,0.18879006748251,0.20138616830923703,0.45530126653036507,-1.3032487687091452,-2.4247005105675243,0.015095381431002764,-0.6652963004321072,-0.10026115850271566,0.015585282532608616,0.17317315104184464,0.12207590718904873,17.867361509119416,17.867361509119416,5.0,5.0,CARGA,0
0.001,0.18938199529103136,0.2016155036870459,0.4529626217028609,-1.3032205290289802,-2.338644827504194,0.028239680164923654,-0.6652467716628635,-0.10029242791516862,0.01558413859912429,0.1730212878590962,0.12171528420225666,17.89788558903407,17.89788558903407,5.0,5.0,CARGA,0
0.002,0.18995662315860962,0.20184187635291487,0.4507075976766814,-1.3031808648295933,-2.2550240261794894,0.03966419938687559,-0.6651971822525495,-0.1003270103199029,0.015578208994772039,0.1728713079621913,0.12136422786065436,17.946962581425893,17.946962581425893,5.0,5.0,CARGA,0
0.003,0.19051397764355552,0.2020651680880553,0.4485339543220126,-1.3031316885636048,-2.1736433546687897,0.04917626598833505,-0.6651476375782291,-0.10036432278752727,0.015567872370247496,0.17272326958687434,0.12102255846265814,18.012973548348377,18.012973548348377,5.0,5.0,CARGA,0
0.004,0.1910540995201059,0.20228523287130493,0.4464396455154398,-1.3030750907421726,-2.0943088065728093,0.05659782143212099,-0.6650982518652004,-0.10040380938390342,0.015553552131720633,0.17257724989252954,0.12069013393328823,18.095075509863392,18.095075509863392,5.0,5.0,CARGA,0
0.005,0.19157708478723579,0.2025018723896684,0.44442338440508256,-1.3030138412280108,-2.0162611103572536,0.0612495141618032,-0.6650491473302829,-0.10044494213286781,0.015535712852462427,0.17243334421232245,0.12036684882574011,18.262030419472172,18.262030419472172,5.0,5.0,CARGA,0
0.006,0.19208304382030073,0.20271486421460214,0.44248407603818063,-1.3029508729648507,-1.9393083669019244,0.06296826316016392,-0.665000455453561,-0.10048728474289026,0.015514914522031256,0.17229168206476042,0.12005269836840476,18.445577190870637,18.445577190870637,5.0,5.0,CARGA,0
0.007,0.19257211966869783,0.2029237743241813,0.4406191045018071,-1.3028870073062153,-1.864971536373545,0.06386565863528408,-0.664952313960669,-0.1005304299112888,0.015491752183466947,0.17215240872573756,0.1197477112485699,18.79459996893489,18.79459996893489,5.0,5.0,CARGA,0
0.008,0.19304446445781712,0.20312814619965575,0.4388258822290837,-1.3028228303993645,-1.7932222727233715,0.06417690685084794,-0.6649048852805848,-0.10057398192251676,0.015466750464070658,0.17201580781245274,0.11945192720775745,19.161700868351353,19.161700868351353,5.0,5.0,CARGA,0
0.009000000000000001,0.19350023212779083,0.2033275353992411,0.4371020447642147,-1.3027588582495988,-1.7238374648689585,0.06397214976564572,-0.6648583301824376,-0.10061758266442677,0.015440417515169086,0.17188217762633923,0.11916540487308441,19.521110762757534,19.521110762757534,5.0,5.0,CARGA,0
0.01,0.1939395746844392,0.2035215210179179,0.435445472080035,-1.3026955349825557,-1.6565726841797381,0.06332326704295667,-0.6648127999539479,-0.10066091840286903,0.015413233144231597,0.17175180854714384,0.11888821545470829,19.86488759169891,19.86488759169891,5.0,5.0,CARGA,0
0.011,0.1943626388105276,0.20370971556618314,0.43385429952513593,-1.3026332329068584,-1.5911725548990343,0.06230207569732551,-0.6647684332252013,-0.10070371989344121,0.015385638740012503,0.1716249755428264,0.1186204368550467,20.1865662517354,20.1865662517354,5.0,5.0,CARGA,0
0.012,0.1947695630456891,0.20389177282560914,0.43232691901420933,-1.3025722544595921,-1.5273805109265806,0.06097844726630064,-0.6647253534772262,-0.1007457610558459,0.015358029270226226,0.1715019317142703,0.11836214794353556,20.481499662555827,20.481499662555827,5.0,5.0,CARGA,0
0.013000000000000001,0.19516047568634565,0.20406739338528232,0.43086197166887297,-1.3025128359618536,-1.4649473453363566,0.05941849773846633,-0.6646836673109086,-0.10078685646095209,0.015330747637512437,0.1713829031635916,0.11811342334533273,20.747027770938587,20.747027770938587,5.0,5.0,CARGA,0
0.014,0.19553549347650384,0.20423632774993075,0.429458333515719,-1.3024551529520743,-1.4036381531539588,0.057683009779294005,-0.6646434635002376,-0.10082685794034821,0.01530408151262945,0.17126808537919058,0.11787432904502759,20.98244244834072,20.98244244834072,5.0,5.0,CARGA,0
0.015,0.19589472107318634,0.2043983771055955,0.42811509604662723,-1.3023993267301996,-1.3432374690917688,0.05582622187459318,-0.6646048128002451,-0.1008656506415439,0.015278262581785468,0.17115764120859916,0.11764491901590765,21.188756061253898,21.188756061253898,5.0,5.0,CARGA,0
0.016,0.1962382511939541,0.20455339200026904,0.42683154345859087,-1.30234543166111,-1.2835525880363376,0.053895069089648875,-0.6645677684314252,-0.10090314882756624,0.015253467974948656,0.17105170036267725,0.11742523297239078,21.36832018043876,21.36832018043876,5.0,5.0,CARGA,0
0.017,0.1965661653017104,0.20470126932149663,0.42560712824919666,-1.3022935027643152,-1.2244152093941763,0.051928896794765006,-0.6645323671251688,-0.10093929167035728,0.015229823508486576,0.17095036028260008,0.11721529523019629,21.52436706948226,21.52436706948226,5.0,5.0,CARGA,0
0.018000000000000002,0.19687853465953112,0.20484194801951636,0.4244414465938918,-1.3022435431572665,-1.1656816553048654,0.04995960704876749,-0.6644986305926448,-0.10097403922660081,0.01520740829455726,0.17085368811970372,0.11701511456399236,21.66055305938429,21.66055305938429,5.0,5.0,CARGA,0
0.019,0.19717542159351276,0.20497540403452033,0.4233342146212173,-1.3021955310063715,-1.107231972674523,0.04801215089496236,-0.6644665672733905,-0.10100736872369792,0.015186260245604696,0.1707617235348055,0.11682468488664438,21.780569463150307,21.780569463150307,5.0,5.0,CARGA,0
0.02,0.19745691630379636,0.20510165458380852,0.4222851656385239,-1.3021495002963488,-1.0490489826933602,0.04603071002264458,-0.6644361742277015,-0.10103927123012019,0.015166382028505773,0.1706744820171473,0.11664398654099328,22.023717287561766,22.023717287561766,5.0,5.0,CARGA,0
0.021,0.19772314812274247,0.2052207569040338,0.4212940015795037,-1.302105560331162,-0.9911640590202181,0.04393996518682753,-0.6644074379431195,-0.10106975282672953,0.015147757665242359,0.170591952084172,0.11647297482103029,22.432979941559356,22.432979941559356,5.0,5.0,CARGA,0
0.022,0.19797424520057902,0.20533279215556416,0.42036046344899375,-1.3020638045037152,-0.9335381305099518,0.041755827446771566,-0.6643803355211797,-0.10109883303681841,0.015130359774862573,0.17051409610585438,0.11631157672162032,22.853155457654935,22.853155457654935,5.0,5.0,CARGA,0
0.023,0.19821033448303918,0.2054378600195609,0.4194843192911222,-1.3020243118832933,-0.8761441578715883,0.03949262042195914,-0.6643548375181871,-0.10112653779431208,0.015114141414303991,0.17044086082778623,0.1161597074234433,23.281889722908723,23.281889722908723,5.0,5.0,CARGA,0
0.024,0.19843154161356655,0.20553607381915526,0.4186653544178228,-1.301987148395863,-0.8189648732993432,0.037163487430334874,-0.6643309095845062,-0.10115289761571014,0.015099040735920569,0.17037218090363287,0.11601727282014454,23.71662121731093,23.71662121731093,5.0,5.0,CARGA,0
0.025,0.19863799080858938,0.20562755626881704,0.4179033636204941,-1.3019523677702254,-0.761990797328749,0.03478062563761613,-0.6643085139166898,-0.1011779460936417,0.01508498508576367,0.17030798208455716,0.11588417189417477,24.15485852242433,24.15485852242433,5.0,5.0,CARGA,0
0.026000000000000002,0.19882980473960007,0.2057124358889164,0.41719814508177616,-1.3019200123694894,-0.7052185387178886,0.032355400735938206,-0.6642876105052107,-0.1012017186799444,0.015071894514806686,0.17024818399766123,0.11576029884859454,24.5943636892223,24.5943636892223,5.0,5.0,CARGA,0
0.027,0.1990071044400231,0.20579084407179998,0.41654949572491295,-1.3018901139765937,-0.6486493568632047,0.029898392895617024,-0.6642681581764771,-0.10122425172339639,0.015059684713464638,0.1701927024893496,0.11564554494595658,25.033244789140987,25.033244789140987,5.0,5.0,CARGA,0
0.028,0.19917000924167935,0.20586291275155075,0.41595720776986544,-1.3018626945627005,-0.5922879550475325,0.027419413893169563,-0.6642501154393137,-0.10124558172680592,0.015048269405295772,0.17014145154263413,0.11553980004058967,25.46997542362879,25.46997542362879,5.0,5.0,CARGA,0
0.029,0.1993186367365211,0.20592877260990688,0.41542106629903863,-1.3018377670406562,-0.536141470826821,0.024927522044406923,-0.6642334411534067,-0.10126574478946071,0.015037562250917097,0.17009434479971258,0.1154429538158632,25.90336405923824,25.90336405923824,5.0,5.0,CARGA,0
0.03,0.19945310275418304,0.20598855174245173,0.4149408476665968,-1.3018153359911173,-0.480218632441829,0.02243104953885017,-0.6642180950410984,-0.10128477620339202,0.015027478320372045,0.17005129673400998,0.11535489675389632,26.332494713908616,26.332494713908616,5.0,5.0,CARGA,0
0.031,0.19957352134396145,0.20604237470885856,0.414516318612296,-1.3017953983434334,-0.4245290543007771,0.019937647683861623,-0.6642040380651731,-0.10130271017508688,0.015017935193713097,0.17001222352133052,0.11527552087338357,26.75665593821734,26.75665593821734,5.0,5.0,CARGA,0
0.032,0.19968000475004904,0.20609036189576013,0.4141472359635451,-1.30177794399373,-0.36908264875089614,0.01745434970325349,-0.6641912326947015,-0.10131957964775559,0.015008853747314463,0.1699770436599667,0.11520472027375739,27.175269641726246,27.175269641726246,5.0,5.0,CARGA,0
0.033,0.1997726633702795,0.20613262912841238,0.4138333468286175,-1.3017629563461317,-0.3138891349276061,0.014987647598372074,-0.6641796430793404,-0.10133541620281714,0.015000158678875872,0.16994567838647795,0.11514239152274289,27.587826521460123,27.587826521460123,5.0,5.0,CARGA,0
0.034,0.1998516067567305,0.2061692864974274,0.4135743830708591,-1.3017504151190002,-0.25896375775839703,0.012541227131550823,-0.6641692351501868,-0.10135025002264722,0.014991778818348817,0.1699180519288751,0.11508843392102876,27.997399761270458,27.997399761270458,5.0,5.0,CARGA,0
