t,q1,q2,q3,q4,dq1,dq2,dq3,dq4,u1,u2,F1,F2,footx,footy,footz,phase
0,0,0,1.0471975511966,-1.5707963267949,0,0,0,0,-0.0366837078105227,-0.513500726021882,-0.244558052070151,5.87641302841442,0.556,0.049630387013801,0.00732391314390384,0
7.65052687180318e-07,1.07734176493263e-13,2.81843220517534e-12,1.04719755119365,-1.57079632681411,2.81635418027773e-07,7.36794619149667e-06,-7.71096085724595e-06,-5.02367966961964e-05,-0.0366752084806246,-0.513492694760537,-0.244512947921244,5.87639261752232,0.555999999999461,0.0496303870105899,0.00732391314389834,0
1.53010537436064e-06,4.30927027586306e-13,1.12737393104187e-11,1.0471975511848,-1.57079632687176,5.63251860310349e-07,1.47359129494578e-05,-1.54211866491485e-05,-0.000100471729564395,-0.0366667094126654,-0.513484663726032,-0.244467844960252,5.87637220691535,0.555999999997846,0.0496303870009568,0.00732391314388172,0
2.29515806154095e-06,9.69564036104845e-13,2.53659370498646e-11,1.04719755117005,-1.57079632696785,8.44849327555035e-07,2.21039002731141e-05,-2.31306774048294e-05,-0.000150704798664584,-0.0366582106066385,-0.513476632918363,-0.24442274318715,5.87635179659352,0.555999999995153,0.0496303869849021,0.00732391314385382,0
3.06021074872127e-06,1.7236306854157e-12,4.50950411570594e-11,1.04719755114941,-1.57079632710236,1.12642782046912e-06,2.94719081616965e-05,-3.08394331534098e-05,-0.00020093600405675,-0.0366497120625377,-0.513468602337522,-0.244377642601916,5.87633138655679,0.555999999991384,0.0496303869624259,0.00732391314381464,0
6.88547418462286e-06,8.72490049954993e-12,2.28294707842208e-10,1.04719755095773,-1.57079632835132,2.53403569483377e-06,6.63122560515765e-05,-6.93721878089762e-05,-0.000452064077496617,-0.0366072232706776,-0.513428452835531,-0.244152157492753,5.87622934064946,0.555999999956379,0.0496303867537347,0.00732391314344368,0
1.07107376205245e-05,2.11097341496403e-11,5.5241939341462e-10,1.0471975506187,-1.57079633056083,3.9411693170124e-06,0.000103153117949233,-0.000107886571654667,-0.000703145567232787,-0.0365647410259426,-0.513388309003321,-0.243926702076204,5.87612730186813,0.555999999894448,0.0496303863845537,0.0073239131427701,0
1.4536001056426e-05,3.88763176652038e-11,1.01747106390557e-09,1.04719755013237,-1.5707963337307,5.3478287753891e-06,0.000139994493758536,-0.000146382588329611,-0.000954180480761497,-0.0365222653274876,-0.513348170840108,-0.24370127634895,5.87602527021125,0.555999999805589,0.0496303858549204,0.00732391314177831,0
1.83612644923276e-05,6.20228374137795e-11,1.62345168497866e-09,1.04719754949882,-1.57079633786075,6.75401415833327e-06,0.000176836383383364,-0.000184860241472386,-0.00120516882557785,-0.0364797961744677,-0.51330803834511,-0.243475880307671,5.87592324567727,0.555999999689804,0.0496303851648721,0.00732391314045291,0
3.74875816718356e-05,2.58391026111753e-10,6.76735782163391e-09,1.04719754412518,-1.57079637290758,1.37778330334712e-05,0.000361053535377076,-0.000376973181515384,-0.00245941228122405,-0.0362675485613211,-0.513107460865963,-0.242349345274738,5.87541322979689,0.555999998706954,0.0496303793097165,0.00732391312827859,0
5.66138988513435e-05,5.88985770096501e-10,1.54347823609973e-08,1.04719753508152,-1.57079643193233,2.07898132697728e-05,0.000545283518348062,-0.000568627578723481,-0.00371249264267685,-0.0360554644573518,-0.512907024974868,-0.241223551893504,5.87490339175747,0.555999997050877,0.0496303694497988,0.00732391310543983,0
7.57402160308515e-05,1.05358074533939e-09,2.76259705975775e-08,1.0471975223766,-1.57079651491279,2.77899658969202e-05,0.000729526320295131,-0.000759823887298357,-0.0049644108455524,-0.0358435437570283,-0.512706730574114,-0.240098499749397,5.87439373136629,0.555999994721538,0.0496303555897915,0.00732391307000285,0
9.48665332103594e-05,1.65194983854993e-09,4.33411675965629e-08,1.04719750601917,-1.57079662182672,3.47783019354483e-05,0.000913781929224707,-0.000950562561097516,-0.00621516782476127,-0.0356317863548627,-0.512506577566049,-0.238974188427968,5.87388424843096,0.555999991718901,0.0496303377343628,0.0073239130200358,0
0.000190498119107899,6.64250765507193e-09,1.74785845468786e-07,1.04719736975039,-1.57079751462214,6.95431183853581e-05,0.00183525165936169,-0.0018974072696683,-0.0124515670389093,-0.0345754451273542,-0.511507930002221,-0.233363729664131,5.87133948888241,0.555999966605037,0.049630188689024,0.00732391248476666,0
0.000286129705005439,1.4943622501963e-08,3.94367370369924e-07,1.04719714347759,-1.57079900243195,0.000104014167945585,0.00275703976940605,-0.00283287898963061,-0.0186590754925058,-0.0335231705559692,-0.510512802640957,-0.227771729373965,5.868799137067,0.555999924653516,0.0496299404561795,0.00732391129755938,0
0.000381761290902979,2.65272665365406e-08,7.0211611799916e-07,1.04719682828571,-1.57080108249885,0.000138192817928585,0.00367914476873459,-0.003757034066688,-0.0248378092576226,-0.0324749495043608,-0.509521183340561,-0.222198135896264,5.86626316931501,0.555999865860017,0.049629593615031,0.00732390921905967,0
0.000477392876800518,4.13655419889205e-08,1.09806232219388e-06,1.04719642525428,-1.57080375207658,0.00017208043000023,0.00460156517146226,-0.00466992863342711,-0.030987883970069,-0.0314307688637156,-0.508533059995161,-0.216642897650476,5.86373156216407,0.555999790220258,0.0496291487423876,0.00732390601108101,0
0.000955550806288217,1.63408418718911e-07,4.40180413742761e-06,1.04719312993991,-1.57082584722821,0.000337200210623599,0.00921834654119407,-0.00906744447477503,-0.0613123904647434,-0.0262700147781086,-0.503644461234698,-0.189140234714303,5.85113812837363,0.555999159179879,0.0496254739395863,0.00732386476907183,0
0.00143370873577592,3.62706913257631e-07,9.91493600848144e-06,1.04718779749728,-1.57086227454197,0.00049524506221594,0.0138427928499076,-0.0131917450863048,-0.0909375158696263,-0.0212083208024512,-0.498841466125422,-0.162088763452374,5.83865030635756,0.555998106359742,0.0496194334962293,0.00732376022565457,0
0.00191186666526361,6.35917870066331e-07,1.76410791835925e-05,1.0471805569213,-1.57091270299173,0.000646378948546757,0.0184747237180236,-0.0170496094725578,-0.119877229944876,-0.0162440800861042,-0.494122601650951,-0.135482131367086,5.82626538573515,0.555996631261556,0.0496110968484022,0.00732356388563853,0
0.00239002459475131,9.79774375733379e-07,2.75837708921193e-05,1.04717153405267,-1.57097680805578,0.000790762520441521,0.0231139616544872,-0.0206476897525665,-0.1481452445095,-0.0113757031986729,-0.489486416451664,-0.109314039147882,5.81398077189524,0.555994733406268,0.0496005320134623,0.00732324792330391,0
0.00364002459475131,2.18938395516734e-06,6.40721102469726e-05,1.04714041209759,-1.57120670336719,0.00113745727267381,0.0352751099678567,-0.028873688276258,-0.218967511917313,0.000909717018758905,-0.477746749886769,-0.0429318837467358,5.78232245210632,0.555987771575016,0.0495628683491879,0.00732166078037843,0
0.00489002459475131,3.80565138173082e-06,0.000115790733520404,1.04710002915596,-1.57152243912718,0.00144179094036127,0.0474819885017907,-0.0354809786150822,-0.285522573063582,0.0125781426295892,-0.466537589843712,0.0206053485180189,5.75129194391484,0.555977909855268,0.0495115716008028,0.0073186078726267,0
0.00614002459475131,5.77730480988798e-06,0.000182794907576077,1.04705233856281,-1.57191882584586,0.00170632687180041,0.0597317094855579,-0.0405764041953256,-0.348031202612779,0.0236561678158196,-0.455835097585545,0.0814044317325579,5.72085256298589,0.555965141322454,0.0494477228802764,0.00731365221281254,0
0.00739002459475131,8.05601995465773e-06,0.000265136569739032,1.04699917070141,-1.57239092883943,0.00193349983857681,0.072021509018896,-0.0442616845696437,-0.406703950350196,0.0341695680393538,-0.445616347706222,0.139569422285959,5.69097145630901,0.555949459667806,0.0493723467480056,0.00730638111830899,0
0.00864002459475131,1.05964390208744e-05,0.00036286428793377,1.04694223201143,-1.57293407024734,0.00212561584451553,0.0843487500461889,-0.0466333684509094,-0.46174106602285,0.0441432420450192,-0.435859348920666,0.195201409888785,5.66161919071906,0.555930859144635,0.0492864103650879,0.00729640570045686,0
0.00989002459475131,1.3356262982743e-05,0.000476023114176754,1.04688310064636,-1.57354383764365,0.00228484970357369,0.0967109311366496,-0.0477826448891674,-0.513332168482497,0.0536011315718225,-0.426543087035313,0.24839819167802,5.63276940455434,0.555909334537775,0.0491908211934796,0.00728336107966335,0
0.0111400245947513,1.62957431653459e-05,0.000604655158342419,1.0468232477831,-1.57421604177896,0.00241326511415026,0.109105668142838,-0.0477961137252794,-0.561657845931514,0.0625663413561486,-0.417647398706461,0.299254637556847,5.60439836627153,0.555884881030177,0.049086436440555,0.0072669021789244,0
0.0123900245947513,1.93774999412201e-05,0.000748799788392418,1.04676404518091,-1.57494670164099,0.00251282196684223,0.121530688134286,-0.04675605838367,-0.606890224464762,0.071061162187078,-0.409152931741727,0.3478627349492,5.57648464963005,0.555857494128375,0.0489740662756482,0.00724670201995886,0
0.0136400245947513,2.25665404539528e-05,0.000908493603281617,1.04670676440371,-1.57573204612294,0.00258537599917285,0.133983831123402,-0.0447404153581951,-0.649192909685909,0.0791070360296953,-0.401041157613356,0.394311440730912,5.54900888508887,0.555827169626117,0.0488544732845589,0.00722245157726547,0
0.0148900245947513,2.58303386172555e-05,0.00108377032527551,1.04665257335889,-1.57656852109927,0.0026326764150006,0.146463055804814,-0.0418226356746153,-0.688720721715198,0.0867245032401346,-0.39329440132143,0.438686471157298,5.52195355395613,0.555793903585381,0.048728370734239,0.00719386019956053,0
0.0161400245947513,2.91384173825716e-05,0.00127466128275616,1.0466025539719,-1.5774527545386,0.00265638222620628,0.15896642299953,-0.0380723401615376,-0.725621028327565,0.0939333157163166,-0.385895730787163,0.481070669344737,5.49530270287056,0.555757692230342,0.0485964304893767,0.00716065232983079,0
0.0173900245947513,3.24622005521812e-05,0.00148119557995772,1.04655770845379,-1.5783815441845,0.00265806814818058,0.171492089949126,-0.0335555535391063,-0.76003421927907,0.100752466364732,-0.378828919944162,0.521544088254124,5.46904174402454,0.555718531890819,0.0484592857668533,0.00712256627933325,0
0.0186400245947513,3.57750285621296e-05,0.00170340007782455,1.0465189586779,-1.57935185894175,0.00263922419994149,0.184038311290874,-0.0283346842650158,-0.792093660169662,0.107200168884146,-0.372078455969886,0.560183904129641,5.44315731106488,0.555676418977749,0.0483175307774336,0.00707935427522719,0
0.0198900245947513,3.90522264853982e-05,0.00194129931287971,1.046487143394,-1.58036084470487,0.0026012535008151,0.196603442857273,-0.0224684208381686,-0.821925478347566,0.113293823002696,-0.365629560285454,0.597064279715634,5.41763714393176,0.555631349972286,0.0481717193916211,0.00703078295725364,0
0.0211400245947513,4.22707606717803e-05,0.00219491589885332,1.04646303280843,-1.58140579561525,0.00254548562899274,0.209185927172636,-0.0160122838997581,-0.849649670028738,0.119050116956187,-0.359468093063902,0.632256709983565,5.39246990395138,0.555583321340849,0.0480223717225123,0.0069766307805829,0
0.0223900245947513,4.54091174097103e-05,0.00246427066846073,1.04644733374941,-1.58248414392358,0.0024731814089405,0.221784288327238,-0.00901882467842377,-0.875380494564645,0.124485058587431,-0.353580520033528,0.665830119972159,5.36764505341776,0.555532329491893,0.0478699764495671,0.00691668710901181,0
0.0236400245947513,4.84473165385782e-05,0.00274938265921067,1.04644068915709,-1.58359346114721,0.00238553251598968,0.234397132513975,-0.00153761125866593,-0.899226437345039,0.129613964222268,-0.347953916426542,0.697850815728005,5.34315277671779,0.555478370759818,0.0477149905761699,0.00685075235326392,0
0.0248900245947513,5.13669684324102e-05,0.00305026905070287,1.04644367582081,-1.58473146288342,0.00228365951836702,0.247023150598863,0.00638485079804872,-0.921290035368978,0.134451435612641,-0.342575982004004,0.728382394176437,5.31898392119626,0.555421441399965,0.0475578383856685,0.00677863846885663,0
0.0261400245947513,5.41509917920264e-05,0.00336694549580824,1.04645681635378,-1.58589598516683,0.00216862283898462,0.259661105673692,0.0147046565199188,-0.941668794494845,0.139011450317635,-0.337434959491223,0.757486056259294,5.29512987622648,0.555361537520212,0.0473989168819875,0.00670016687184714,0
0.0273900245947513,5.6783514193515e-05,0.00369942623777125,1.04648058342879,-1.5870849761413,0.00204142666661698,0.272309828586728,0.0233803348189731,-0.960455516236125,0.143307391722697,-0.332519605388517,0.785220706687507,5.27158250204208,0.555298655047913,0.0472385977286426,0.00661516774853572,0
0.0286400245947513,5.92498835925011e-05,0.00404772409912153,1.04651539935307,-1.58829649703063,0.00190301859541528,0.284968218233097,0.0323728583003393,-0.977738267425626,0.14735204340623,-0.327819191943267,0.8116429275901,5.24833409035895,0.555232789720004,0.0470772270779016,0.0065234802252882,0
0.0298900245947513,6.15367155951525e-05,0.00441185043201383,1.04656163421553,-1.58952872612363,0.00175428793275583,0.297635243350001,0.0416457054683618,-0.993600236970097,0.151157573628322,-0.323323518148064,0.836806918165446,5.22537733869495,0.555163937082414,0.0469151247404638,0.00642495282935322,0
0.0311400245947513,6.3631661637386e-05,0.00479181538945407,1.04661961568569,-1.59077993935152,0.00159607472312799,0.31030993198787,0.0511644762343415,-1.00812049448264,0.154735613604031,-0.319022840610192,0.860764771699359,5.20270526964243,0.555092092434839,0.0467525886608232,0.00631944179769532,0
0.0323900245947513,6.55233274585374e-05,0.00518762802117276,1.04668963247236,-1.59204850345588,0.00142917295966158,0.322991367692731,0.0608967528263445,-1.02137426057284,0.158097285043057,-0.314907848292057,0.883566570370856,5.18031118955499,0.555017250805566,0.0465898965217132,0.00620681053697109,0
0.0336400245947513,6.72012827082515e-05,0.00559929626451946,1.04677193396353,-1.5933328768064,0.00125433027070595,0.335678689665739,0.0708121072344774,-1.03343288164272,0.16125319771716,-0.310969663343009,0.905260372423526,5.15818867222406,0.554939406946225,0.0464273056174703,0.00608692979298046,0
0.0348900245947513,6.86560999009278e-05,0.00602682690425206,1.04686672869831,-1.59463161270908,0.00107224648465999,0.348371094069563,0.0808821510954281,-1.04436371136494,0.164213438781306,-0.307199849375984,0.925892170819434,5.1363315523239,0.554858555334542,0.046265052183786,0.00595967805782984,0
0.0361400245947513,6.98791641710804e-05,0.00647022579345304,1.04697419236043,-1.5959433434662,0.000883581077182157,0.361067825214741,0.0910802168740231,-1.0542307373693,0.166987639702859,-0.30359035319895,0.945506134568542,5.11473386973779,0.554774690129657,0.0461033550652868,0.00582494018592031,0
0.0373900245947513,7.08626064805324e-05,0.00692949793146611,1.04709447059188,-1.59726677477809,0.000688955818562827,0.37376817234587,0.101381242407508,-1.06309480444132,0.169585000728842,-0.300133483203887,0.964144695277075,5.0933898458744,0.55468780515315,0.0459424170343741,0.00568260696137339,0
